epoch,test_acc_before_rounding,test_acc,val_acc,train_acc,regularization_loss,model_sparsity
0,28.55,28.55,28.55,23.27777777574327,0.8815951347351074,49.50137141494246
1,31.86,31.86,31.86,32.45777777438693,0.8697880506515503,49.12609564128555
2,38.08,38.08,38.08,35.922222217475046,0.858161985874176,48.77616123069584
3,39.1,39.1,39.1,39.06666666124132,0.846795916557312,48.40982946753324
4,40.77,40.77,40.77,41.66888888888889,0.8357506990432739,47.99915031900304
5,45.41,45.41,45.41,44.251111110432944,0.8249846696853638,47.63505455846401
6,46.8,46.8,46.8,46.364444440375436,0.8145036697387695,47.241518096714564
7,47.48,47.48,47.48,48.484444441053604,0.8043580055236816,46.8755590006559
8,46.93,46.93,46.93,49.95111110907661,0.7945183515548706,46.512208574324724
9,51.26,51.26,51.26,51.773333327907984,0.7849886417388916,46.141777473018905
10,51.46,51.46,51.46,53.504444443766275,0.7756474018096924,45.770601037505216
11,51.83,51.83,51.83,54.284444443766276,0.7667429447174072,45.422157295331225
12,52.86,52.86,52.86,55.86666666327582,0.7581608891487122,45.03383817303679
13,49.76,49.76,49.76,57.113333331298826,0.7498401403427124,44.67868642299207
14,55.91,55.91,55.91,58.09999999728733,0.7418612241744995,44.33583268737702
15,53.78,53.78,53.78,59.11555554945204,0.7341724038124084,43.99297895176197
16,53.73,53.73,53.73,59.79555554877387,0.7269188165664673,43.67323057659054
17,52.79,52.79,52.79,60.69777777574327,0.7199157476425171,43.3773328960706
18,59.59,59.59,59.59,61.2244444410536,0.7132587432861328,43.05832985510703
19,58.42,58.42,58.42,61.72444444173177,0.7069234848022461,42.7765935245364
20,56.87,56.87,56.87,62.13999999457465,0.7008787989616394,42.505291872875794
21,61.32,61.32,61.32,62.91333333062066,0.6952083706855774,42.231008884383755
22,62.57,62.57,62.57,63.43777776828342,0.6898398399353027,41.972377914256754
23,62.09,62.09,62.09,63.38888889024523,0.6848212480545044,41.74430564665196
24,52.01,52.01,52.01,63.962222216796874,0.680101215839386,41.523314054021824
25,61.95,61.95,61.95,64.1444444430881,0.6756699085235596,41.30194979428776
26,63.71,63.71,63.71,64.87999999050564,0.6715808510780334,41.07648619641047
27,64.58,64.58,64.58,65.15333332519532,0.6678130030632019,40.89835132073222
28,63.41,63.41,63.41,65.09777777370877,0.6642981171607971,40.72692445292469
29,60.25,60.25,60.25,65.7711111029731,0.6610639691352844,40.56444159561147
30,63.57,63.57,63.57,65.81111110568577,0.6581048965454102,40.41798342376722
31,63.93,63.93,63.93,66.14222221815321,0.655419111251831,40.289785940015506
32,66.43,66.43,66.43,65.94888889024523,0.6529818177223206,40.144445769483035
33,61.53,61.53,61.53,66.33999999864366,0.6507941484451294,40.01773895414704
34,63.15,63.15,63.15,66.4688888841417,0.6488320827484131,39.89923081509749
35,66.71,66.71,66.71,66.83555555148655,0.6470978856086731,39.80830004173872
36,65.89,65.89,65.89,66.98444444037544,0.6455786228179932,39.721095939419236
37,63.76,63.76,63.76,67.10666665717231,0.6442570686340332,39.64917118836086
38,62.75,62.75,62.75,67.27777777642144,0.6431192755699158,39.59401645697931
39,65.92,65.92,65.92,67.06666666056316,0.6421679258346558,39.551905074235286
40,65.93,65.93,65.93,67.63111110161675,0.6413703560829163,39.50569435334804
41,65.08,65.08,65.08,67.51999999050564,0.6407181620597839,39.472154313994395
42,66.32,66.32,66.32,68.16222222086589,0.6401997804641724,39.43451493649753
43,65.82,65.82,65.82,68.02666666463216,0.6398000717163086,39.409546240534254
44,64.8,64.8,64.8,68.31999999321832,0.6395060420036316,39.39203088664957
45,67.19,67.19,67.19,68.24888888346354,0.6393009424209595,39.38718621429849
46,66.97,66.97,66.97,68.3711111070421,0.6391696929931641,39.37600620118061
47,66.87,66.87,66.87,68.24222222086588,0.6390957236289978,39.367434857790236
48,67.43,67.43,67.43,68.6311111070421,0.6390628218650818,39.35774551308807
