epoch,test_acc_before_rounding,test_acc,val_acc,train_acc,regularization_loss,model_sparsity
0,18.77,18.77,18.77,15.97777777642144,8.811802864074707,49.545718800310055
1,21.89,21.89,21.89,21.497777776760525,8.689350128173828,49.1812503726671
2,25.9,25.9,25.9,24.11555555352105,8.568775177001953,48.84845864885815
3,26.93,26.93,26.93,26.246666664632162,8.449932098388672,48.475418877824815
4,28.22,28.22,28.22,28.10222221883138,8.332864761352539,48.11281378570151
5,29.74,29.74,29.74,29.224444443088107,8.217513084411621,47.76511537773538
6,30.76,30.76,30.76,30.53333333062066,8.103894233703613,47.398038280364915
7,32.17,32.17,32.17,31.11333333129883,7.991978645324707,47.02350784091587
8,32.59,32.59,32.59,31.724444442070855,7.881695747375488,46.657548744857195
9,32.48,32.48,32.48,32.86,7.773193359375,46.302024327708544
10,34.84,34.84,34.84,33.26666666497125,7.666452884674072,45.93047522509093
11,34.49,34.49,34.49,34.18666666124132,7.561570167541504,45.55519945143402
12,34.24,34.24,34.24,34.842222221544056,7.458329677581787,45.17694234094568
13,36.11,36.11,36.11,35.33111110772027,7.356777191162109,44.79905789756127
14,34.11,34.11,34.11,35.62444444240994,7.25692892074585,44.431235465982944
15,36.03,36.03,36.03,36.193333327907986,7.158816814422607,44.051860354182814
16,38.43,38.43,38.43,36.62222221815321,7.0623779296875,43.66316856478445
17,34.84,34.84,34.84,37.42444444037543,6.967607498168945,43.271495438554645
18,36.54,36.54,36.54,37.99999999593099,6.874512195587158,42.88578498598772
19,38.74,38.74,38.74,38.282222217475045,6.783017635345459,42.4952298610697
20,39.86,39.86,39.86,39.13111110975478,6.693137168884277,42.12666209528353
21,41.41,41.41,41.41,39.57777777642144,6.604963302612305,41.715237612545465
22,39.25,39.25,39.25,40.31555555419922,6.51835823059082,41.325800488939244
23,41.93,41.93,41.93,40.5711111070421,6.43329381942749,40.93338202850158
24,35.33,35.33,35.33,40.859999997287325,6.3498029708862305,40.564068928507545
25,42.69,42.69,42.69,41.599999995930986,6.267827033996582,40.14817244052233
26,40.9,40.9,40.9,42.19333333062066,6.187474727630615,39.750909307733586
27,41.42,41.42,41.42,42.67777777438694,6.108559608459473,39.34470216445054
28,44.34,44.34,44.34,43.035555550808375,6.031096935272217,38.96681772106613
29,43.67,43.67,43.67,43.46,5.955082416534424,38.59415061713673
30,44.05,44.05,44.05,44.10444444240994,5.880582332611084,38.19912348697156
31,44.52,44.52,44.52,44.32666666327582,5.807621955871582,37.814903702820345
32,45.78,45.78,45.78,44.55999999864366,5.736017227172852,37.422485242382685
33,43.01,43.01,43.01,45.09111110907661,5.6659369468688965,37.01851410172321
34,42.46,42.46,42.46,45.39333332994249,5.597189426422119,36.62572297418162
35,44.35,44.35,44.35,45.96888888888889,5.529826641082764,36.2135531572357
36,46.6,46.6,46.6,46.67777777777778,5.463955879211426,35.81442668892731
37,43.58,43.58,43.58,46.74666666191949,5.399399757385254,35.41343688509928
