epoch,test_acc_before_rounding,test_acc,val_acc,train_acc,regularization_loss,model_sparsity
0,73.15,73.15,73.15,42.77636363303444,2.283080816268921,33.41206030150754
1,85.0,85.0,85.0,80.44727272061435,1.337656855583191,11.93718592964824
2,82.44,82.44,82.44,83.0272727228338,0.8876795768737793,3.847571189279732
3,83.52,83.52,83.52,82.53454544899681,0.6492241621017456,3.407035175879397
4,84.21,84.21,84.21,83.44363636030717,0.5132262110710144,3.2227805695142377
5,84.22,84.22,84.22,84.01272726828836,0.43509817123413086,3.14070351758794
6,84.38,84.38,84.38,84.03999999334162,0.3890220522880554,3.0820770519262983
7,84.73,84.73,84.73,84.31636363081499,0.3615949749946594,3.044388609715243
8,85.47,85.47,85.47,84.45818182262074,0.34439247846603394,3.0016750418760467
9,84.71,84.71,84.71,84.58363635697798,0.3326806426048279,3.0083752093802345
10,85.41,85.41,85.41,84.56545454767401,0.3253723680973053,2.987437185929648
11,84.76,84.76,84.76,84.37272727050781,0.3202749788761139,2.9782244556113904
12,85.02,85.02,85.02,84.37272726717862,0.31716713309288025,2.9673366834170856
13,84.85,84.85,84.85,84.57090908647017,0.3152115046977997,2.9656616415410384
14,85.13,85.13,85.13,84.6618181751598,0.313599556684494,2.9514237855946397
15,84.86,84.86,84.86,84.70363636807528,0.31255659461021423,2.9505862646566166
16,85.69,85.69,85.69,84.59454544788707,0.3119824230670929,2.9438860971524288
17,85.37,85.37,85.37,84.72181817848899,0.31147295236587524,2.936348408710218
18,84.84,84.84,84.84,84.741818178489,0.31110069155693054,2.940536013400335
19,85.3,85.3,85.3,84.77090908536044,0.31082677841186523,2.9346733668341707
20,85.05,85.05,85.05,84.83272726828835,0.3106077313423157,2.932998324958124
21,85.15,85.15,85.15,84.86363636807529,0.31047776341438293,2.9137353433835846
22,85.16,85.16,85.16,84.99090908979936,0.3104049265384674,2.942211055276382
23,85.18,85.18,85.18,84.94545454101562,0.31037235260009766,2.9304857621440537
24,84.57,84.57,84.57,85.07636364080255,0.3103659451007843,2.9271356783919598
24,-1.0,67.82,67.32,67.77090908536044,0.0,2.9271356783919598
25,-1.0,85.42,85.0,77.89818182040128,0.0,2.9271356783919598
26,-1.0,85.76,85.8,85.85454545787465,0.0,2.9271356783919598
27,-1.0,87.23,86.6,86.84909090687145,0.0,2.9271356783919598
28,-1.0,88.01,87.2,87.23272727272727,0.0,2.9271356783919598
29,-1.0,87.3,86.98,87.64909090798118,0.0,2.9271356783919598
30,-1.0,88.5,87.7,88.05818181152344,0.0,2.9271356783919598
31,-1.0,88.67,87.74,88.54363636474609,0.0,2.9271356783919598
32,-1.0,89.66,88.84,88.9890909124201,0.0,2.9271356783919598
33,-1.0,89.89,88.9,89.34727272949219,0.0,2.9271356783919598
34,-1.0,89.62,89.1,89.67636363747337,0.0,2.9271356783919598
35,-1.0,90.32,89.52,89.78545454656428,0.0,2.9271356783919598
36,-1.0,89.71,89.04,90.06181817737927,0.0,2.9271356783919598
37,-1.0,90.29,89.94,90.37454545787465,0.0,2.9271356783919598
38,-1.0,91.03,90.44,90.412727273837,0.0,2.9271356783919598
39,-1.0,90.6,89.82,90.67818181485262,0.0,2.9271356783919598
40,-1.0,90.67,90.04,90.75636362970526,0.0,2.9271356783919598
41,-1.0,91.06,91.02,90.93272727050781,0.0,2.9271356783919598
42,-1.0,90.85,90.56,91.12909091131037,0.0,2.9271356783919598
43,-1.0,91.16,90.84,91.19272726828835,0.0,2.9271356783919598
44,-1.0,90.77,90.36,91.31818181929155,0.0,2.9271356783919598
45,-1.0,91.34,91.12,91.44727272949218,0.0,2.9271356783919598
