epoch,test_acc_before_rounding,test_acc,val_acc,train_acc,regularization_loss,model_sparsity
0,18.44,18.44,18.44,14.595555553860134,8.829939842224121,49.63329556973347
1,23.16,23.16,23.16,20.019999998643662,8.707144737243652,49.26472780394729
2,25.11,25.11,25.11,23.60666666531033,8.586133003234863,48.91814739729295
3,26.26,26.26,26.26,24.982222222222223,8.466910362243652,48.563368314352154
4,27.83,27.83,27.83,26.62666666463216,8.349464416503906,48.21306123665852
5,29.07,29.07,29.07,28.60666666463216,8.233821868896484,47.86797149841989
6,31.8,31.8,31.8,29.61111111111111,8.11995792388916,47.48859638661976
7,31.79,31.79,31.79,30.484444442070856,8.007845878601074,47.11481128137857
8,32.42,32.42,32.42,31.024444443766274,7.897552967071533,46.73953550772166
9,32.11,32.11,32.11,32.031111108398434,7.788930416107178,46.366123069584404
10,33.5,33.5,33.5,32.74444444037543,7.682016372680664,45.987865959096055
11,32.28,32.28,32.28,33.36222222154405,7.5769171714782715,45.62153419593346
12,34.69,34.69,34.69,33.91333333197699,7.473496913909912,45.24551308806869
13,35.81,35.81,35.81,34.55555555386013,7.371730327606201,44.87769065649037
14,35.26,35.26,35.26,34.9711111090766,7.271671772003174,44.4673841750641
15,36.51,36.51,36.51,35.57111110636393,7.173249244689941,44.10552441714865
16,34.16,34.16,34.16,35.611111108737525,7.076521873474121,43.73248464611532
17,35.89,35.89,35.89,35.75111110772027,6.9814372062683105,43.35124619879554
18,34.26,34.26,34.26,36.10666666191949,6.888034343719482,42.95547373442251
19,36.2,36.2,36.2,36.65333333231608,6.796261310577393,42.57870729234989
20,38.79,38.79,38.79,36.97555555419922,6.706069469451904,42.18032615824936
21,37.43,37.43,37.43,37.566666662597655,6.617624282836914,41.77710035179775
22,38.36,38.36,38.36,38.04222221950955,6.530716419219971,41.38878122950331
23,38.85,38.85,38.85,38.15999999932183,6.44533634185791,40.98331942042812
24,37.66,37.66,37.66,38.577777777777776,6.361518383026123,40.58978295867867
25,39.99,39.99,39.99,38.98444444444444,6.279249668121338,40.188420487746704
26,39.32,39.32,39.32,39.65999999660916,6.198652267456055,39.80121936676406
27,37.57,37.57,37.57,39.3066666659885,6.119607925415039,39.409918907638186
28,42.48,42.48,42.48,40.322222217475044,6.0420708656311035,39.03986047343629
29,38.53,38.53,38.53,40.52444443969726,5.965982437133789,38.645206010375055
30,37.45,37.45,37.45,41.07111110839844,5.891345500946045,38.24496154075487
31,40.58,40.58,40.58,41.48444444376628,5.818288803100586,37.85962375529187
32,42.21,42.21,42.21,41.89999999525282,5.74662446975708,37.44708127124203
33,42.5,42.5,42.5,42.66888888414171,5.676426887512207,37.04944547134935
34,40.16,40.16,40.16,42.706666661919485,5.607612609863281,36.64882833462524
35,43.51,43.51,43.51,42.80666666395399,5.540204048156738,36.25939121101902
36,38.98,38.98,38.98,43.9844444390191,5.474247932434082,35.88374277025818
37,38.57,38.57,38.57,44.39333332858615,5.4095916748046875,35.48573430326158
38,42.34,42.34,42.34,45.06666666463216,5.346182346343994,35.08101782839425
39,44.68,44.68,44.68,45.2111111070421,5.284070014953613,34.68300936139765
40,41.34,41.34,41.34,45.59999999864366,5.223219394683838,34.2931995706875
41,45.02,45.02,45.02,45.84888888617621,5.1637187004089355,33.91121578915986
42,46.71,46.71,46.71,46.59333333062066,5.105476379394531,33.52699600500865
43,41.17,41.17,41.17,46.8244444410536,5.048518657684326,33.14762089320851
44,45.92,45.92,45.92,47.04222221883138,4.9926981925964355,32.757438435394434
45,48.71,48.71,48.71,47.68666666666667,4.938079357147217,32.37880865780216
46,47.76,47.76,47.76,47.71555555352105,4.88470983505249,31.976700852662333
47,45.32,45.32,45.32,48.32888888753255,4.832483291625977,31.609251088187943
48,47.72,47.72,47.72,48.631111109076606,4.781386375427246,31.251490668415716
49,49.16,49.16,49.16,48.73999999660916,4.731453895568848,30.88255023552561
50,45.0,45.0,45.0,49.20444444444445,4.682653427124023,30.51882714209051
51,47.39,47.39,47.39,49.015555553521054,4.6349992752075195,30.160694055214357
52,49.4,49.4,49.4,49.36666666124132,4.588396072387695,29.774983602647428
53,45.0,45.0,45.0,50.1311111070421,4.542830467224121,29.398962494782662
54,45.66,45.66,45.66,50.124444440375434,4.498318195343018,29.028531393476836
55,48.7,48.7,48.7,50.35333333062066,4.454806327819824,28.691640331524656
56,41.5,41.5,41.5,51.02222221883138,4.412334442138672,28.335370580168146
57,51.48,51.48,51.48,51.18444444308811,4.370850086212158,27.982082165643074
