epoch,test_acc_before_rounding,test_acc,val_acc,train_acc,regularization_loss,model_sparsity
0,26.62,26.62,26.62,21.395555555555557,0.0008952465723268688,49.960869954087414
1,30.63,30.63,30.63,29.02888888888889,0.0008953496580943465,49.96720529485421
2,33.26,33.26,33.26,32.81555555419922,0.000895439472515136,49.98546598294676
3,34.81,34.81,34.81,35.33111110772027,0.0008955299272201955,49.95602528173633
4,33.86,33.86,33.86,36.742222216796876,0.0008955938392318785,49.96757796195814
5,40.24,40.24,40.24,38.16222222222222,0.0008956617675721645,49.954161946216686
6,38.52,38.52,38.52,39.73999999593099,0.0008957181125879288,49.95900661856776
7,41.73,41.73,41.73,41.09555555352105,0.0008957707905210555,49.95490728042454
8,41.22,41.22,41.22,42.17333333333333,0.0008958124672062695,49.95677061594419
9,43.96,43.96,43.96,43.98888888888889,0.0008958156686276197,49.96049728698348
10,46.25,46.25,46.25,45.23555555284288,0.0008958143880590796,49.94372726730666
11,47.99,47.99,47.99,46.77111111111111,0.00089583161752671,49.94223659889094
12,48.38,48.38,48.38,47.78444444240994,0.0008958078105933964,49.935528591020216
13,46.75,46.75,46.75,48.7066666659885,0.0008958140388131142,49.91242323057659
14,47.73,47.73,47.73,49.6844444410536,0.0008958203834481537,49.92434857790233
15,51.21,51.21,51.21,50.653333331298825,0.0008958005346357822,49.91205056347266
16,51.1,51.1,51.1,51.951111108398436,0.0008957602549344301,49.884100530677955
17,45.64,45.64,45.64,52.64888888753255,0.0008957108366303146,49.87180251624829
18,48.22,48.22,48.22,52.65999999728733,0.0008957035606727004,49.86397650706577
19,50.73,50.73,50.73,53.4599999979655,0.0008956612437032163,49.85913183471469
20,53.13,53.13,53.13,53.99555555419922,0.0008956263773143291,49.84832448870073
21,44.4,44.4,44.4,54.80444444444444,0.000895582779776305,49.838635143998566
22,55.94,55.94,55.94,55.435555552164715,0.0008955098455771804,49.841616480830005
23,52.79,52.79,52.79,56.05999999660916,0.0008954625809565187,49.82820046508854
24,55.58,55.58,55.58,56.304444441053604,0.0008953865035437047,49.824473794049254
25,53.8,53.8,53.8,56.882222220865884,0.00089532311540097,49.81776578617852
26,56.04,56.04,56.04,57.317777771674265,0.0008952683419920504,49.811803112515655
27,58.31,58.31,58.31,57.92666665988498,0.0008952052448876202,49.79428775863097
28,57.56,57.56,57.56,58.39333333333333,0.000895136792678386,49.78161707709737
29,58.51,58.51,58.51,58.83555555148654,0.0008950642659328878,49.76708306004412
30,55.58,55.58,55.58,58.92888888278537,0.0008949698531068861,49.760747719277326
31,57.34,57.34,57.34,59.68666666327582,0.0008948956965468824,49.740251028561204
32,57.75,57.75,57.75,60.12444444173177,0.0008948007016442716,49.72646234571582
33,56.72,56.72,56.72,60.7177777750651,0.0008947296300902963,49.69888498002504
34,58.76,58.76,58.76,60.84888888888889,0.000894657801836729,49.708946991831134
35,56.21,56.21,56.21,61.30888888346354,0.0008945891167968512,49.69143163794646
36,60.78,60.78,60.78,61.959999997287326,0.0008944991277530789,49.68248762745215
37,61.22,61.22,61.22,62.05111110907661,0.0008944134460762143,49.680996959036435
38,61.87,61.87,61.87,62.37555555419922,0.0008943395805545151,49.66720827619105
39,58.98,58.98,58.98,62.74666666056315,0.0008942601270973682,49.663854272255676
40,61.55,61.55,61.55,63.03555554877387,0.0008941835258156061,49.655282928865304
41,59.7,59.7,59.7,63.646666664632164,0.0008941192645579576,49.63590423946098
42,60.22,60.22,60.22,63.71777776828342,0.0008940575644373894,49.64149424601992
43,58.73,58.73,58.73,64.12444444037543,0.00089399388525635,49.640748911812054
44,61.21,61.21,61.21,64.406666663954,0.000893906457349658,49.61950688688808
45,62.78,62.78,62.78,64.63777777370876,0.0008938180399127305,49.622488223719515
46,63.93,63.93,63.93,64.2755555501302,0.0008937494712881744,49.61391688032914
47,60.44,60.44,60.44,64.70444444037544,0.0008936787489801645,49.599755530379824
48,63.36,63.36,63.36,65.3355555460612,0.0008936062222346663,49.58969351857373
49,60.75,60.75,60.75,65.24444443834093,0.0008935619262047112,49.60348220141912
50,65.2,65.2,65.2,65.39111110704211,0.0008935148362070322,49.57590483572834
51,64.31,64.31,64.31,65.3688888821072,0.0008934653596952558,49.58820285015801
52,63.71,63.71,63.71,65.33777777913411,0.0008933788049034774,49.561370818675094
53,65.05,65.05,65.05,66.1311111070421,0.0008933042990975082,49.55950748315545
54,64.01,64.01,64.01,66.37333332926433,0.0008932290365919471,49.55317214238865
55,65.42,65.42,65.42,66.31333332383898,0.0008931754855439067,49.54199212927077
56,60.05,60.05,60.05,66.4711111029731,0.000893105287104845,49.53118478325681
57,62.73,62.73,62.73,66.63555555148655,0.0008930401527322829,49.528576113529304
58,64.21,64.21,64.21,66.62222221815321,0.0008929860196076334,49.51516009778785
59,63.46,63.46,63.46,67.01555554741753,0.0008929242030717432,49.50807942281319
60,63.23,63.23,63.23,67.21999999593099,0.0008928616298362613,49.487955399201
61,63.63,63.63,63.63,67.42222221544054,0.000892789859790355,49.4752847176674
62,64.64,64.64,64.64,67.25111110568577,0.0008927267626859248,49.47118537952418
63,63.18,63.18,63.18,67.70222221544054,0.0008926771697588265,49.462241369029876
64,63.62,63.62,63.62,67.49111111111111,0.0008926248410716653,49.45665136247093
65,65.41,65.41,65.41,67.87999999457465,0.0008925661095418036,49.45143402301592
66,59.63,59.63,59.63,67.97333332383897,0.0008925193687900901,49.438018007274465
67,64.29,64.29,64.29,67.86888889024523,0.000892475713044405,49.399633295569735
68,61.46,61.46,61.46,68.46222222357856,0.0008924347348511219,49.40186929819331
69,63.03,63.03,63.03,68.04888889024522,0.0008923778659664094,49.41006797447976
70,65.54,65.54,65.54,68.28888888753255,0.0008923423592932522,49.40559596923261
71,67.0,67.0,67.0,68.026666668023,0.0008923052810132504,49.4119313099994
72,67.24,67.24,67.24,68.67111110161676,0.0008922498673200607,49.38286327589291
73,66.26,66.26,66.26,68.72888888346354,0.0008922000997699797,49.397769960050084
74,63.81,63.81,63.81,68.77777777370876,0.0008921497501432896,49.38435394430863
75,63.27,63.27,63.27,68.67111110161676,0.000892122567165643,49.38286327589291
76,62.46,62.46,62.46,68.72444443766275,0.0008920812397263944,49.372428596982886
77,68.25,68.25,68.25,69.05777777574328,0.0008920412510633469,49.3776459364379
78,66.11,66.11,66.11,69.3355555569119,0.0008919829851947725,49.37317393119075
79,65.92,65.92,65.92,69.29111110568576,0.000891935545951128,49.3839812772047
80,66.5,66.5,66.5,69.15111110839844,0.0008918951498344541,49.36162125096894
81,66.28,66.28,66.28,69.11999999728732,0.0008918648236431181,49.37503726671039
82,62.16,62.16,62.16,69.48888889024522,0.0008918262319639325,49.38211794168505
83,64.71,64.71,64.71,69.54888889024522,0.0008918018429540098,49.35752191282571
84,65.49,65.49,65.49,69.51999999728733,0.0008917551604099572,49.35826724703357
85,67.89,67.89,67.89,69.52888887939453,0.0008917302475310862,49.35193190626677
86,69.13,69.13,69.13,69.8577777750651,0.0008917024242691696,49.341124560252815
87,63.68,63.68,63.68,69.89999999660915,0.000891670526470989,49.335534553693876
88,62.1,62.1,62.1,70.01333332519532,0.0008916434599086642,49.323981873472064
89,66.5,66.5,66.5,70.12444444037543,0.000891616684384644,49.303857849859874
90,68.93,68.93,68.93,69.9355555569119,0.0008915865328162909,49.322491205056345
91,67.75,67.75,67.75,70.15111110975478,0.0008915624348446727,49.30311251565202
92,68.25,68.25,68.25,70.39111110839843,0.0008915382204577327,49.309820523522745
93,66.79,66.79,66.79,70.43333332790799,0.0008915058569982648,49.28373382624769
94,66.23,66.23,66.23,70.39999999186197,0.0008914739592000842,49.28224315783197
95,68.57,68.57,68.57,70.28222221272786,0.0008914494537748396,49.275907817065175
96,66.76,66.76,66.76,70.51999999728733,0.0008914161007851362,49.27404448154552
97,68.1,68.1,68.1,70.43777776692708,0.0008913961937651038,49.271435811818016
98,65.79,65.79,65.79,70.74888888346354,0.0008913663914427161,49.26770914077873
99,67.03,67.03,67.03,70.41999999186199,0.0008913397323340178,49.261373800011924
100,69.51,69.51,69.51,70.85999999864366,0.0008913149940781295,49.27553514996124
101,70.29,70.29,70.29,70.99555555419921,0.0008912939811125398,49.27404448154552
102,67.51,67.51,67.51,70.85777777642144,0.0008912724442780018,49.26472780394729
103,65.51,65.51,65.51,70.99777777777778,0.0008912464254535735,49.25280245662155
104,66.38,66.38,66.38,71.03777777235243,0.0008912269258871675,49.24907578558226
105,69.42,69.42,69.42,71.1511111070421,0.0008912083576433361,49.241622443503665
106,70.29,70.29,70.29,71.10666666531033,0.0008911912445910275,49.235659769840794
